iso3c,region_name,goal,future,pressures,resilience,score,status,trend,are_km2
SDN,Sudan,LIV,32,56.34,37.35,47.88,63.76,-0.65,63012
SAU,Saudi Arabia,LIV,100,46.17,65.81,100,100,1,190642
ISR,Israel,LIV,100,37.94,55.23,100,100,1,32
EGY,Egypt,LIV,100,44.21,53.18,95.67,91.33,0.67,71940
JOR,Jordan,LIV,93.52,48.81,50.81,75.45,57.38,0.94,97
SOM,Somalia,LSP,0.03,54.01,36.28,0.04,0.04,0,128355
ERI,Eritrea,LSP,0,57.5,49.81,0,0,0,78382
DJI,Djibouti,LSP,0,49.15,52.19,0,0,0,7252
YEM,Yemen,LSP,0.04,56.02,37.46,0.04,0.04,0,162280
SDN,Sudan,LSP,0,55.75,40.98,0,0,0,63012
SAU,Saudi Arabia,LSP,40.85,42.15,77.17,40.85,40.85,0,190642
ISR,Israel,LSP,14.8,45.64,80.58,14.8,14.8,0,32
EGY,Egypt,LSP,69.26,52.83,73.36,69.26,69.26,0,71940
JOR,Jordan,LSP,0,34.93,76.68,0,0,0,97
SOM,Somalia,MAR,0,43.34,36.28,0,0,0,128355
ERI,Eritrea,MAR,0,44.25,50.38,0,0,0.33,78382
DJI,Djibouti,MAR,0,36.62,45.37,0,0,0,7252
YEM,Yemen,MAR,0,46.6,37.46,0,0,0,162280
SDN,Sudan,MAR,0,42.23,40.98,0,0,0,63012
SAU,Saudi Arabia,MAR,9.82,30.28,78.3,7.85,5.88,1,190642
ISR,Israel,MAR,32.95,30.57,86.26,29.54,26.13,0.39,32
EGY,Egypt,MAR,13.38,40.26,73.36,10.69,8.01,1,71940
JOR,Jordan,MAR,0,42.11,78.96,0,0,0,97
SOM,Somalia,NP,88.87,40.34,42.13,89.21,89.55,-0.01,128355
ERI,Eritrea,NP,80.43,43.32,48.67,80.42,80.42,0,78382
DJI,Djibouti,NP,NA,NA,NA,NA,NA,NA,7252
YEM,Yemen,NP,97.22,43,44.16,97.21,97.2,0,162280
SDN,Sudan,NP,NA,47.92,49.73,NA,NA,NA,63012
SAU,Saudi Arabia,NP,89.03,36.42,67.56,88.67,88.31,0.01,190642
ISR,Israel,NP,98.7,28.15,68.86,89.87,81.04,0.33,32
EGY,Egypt,NP,74.7,36.36,60.68,74.78,74.86,0,71940
JOR,Jordan,NP,83.83,34.09,68.07,83.84,83.85,0,97
SOM,Somalia,SP,29.17,NA,NA,29.73,30.3,-0.01,128355
ERI,Eritrea,SP,27.84,NA,NA,28.42,29,-0.03,78382
DJI,Djibouti,SP,30.31,NA,NA,30.57,30.83,-0.01,7252
YEM,Yemen,SP,25.17,NA,NA,25.83,26.49,-0.03,162280
SDN,Sudan,SP,25.11,NA,NA,25.74,26.36,-0.03,63012
SAU,Saudi Arabia,SP,47.36,NA,NA,47.64,47.92,-0.02,190642
ISR,Israel,SP,35.69,NA,NA,36.04,36.4,-0.02,32
